epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,7812.97,0.76586,1.11174,0.56695,0.96841,0.83487,0.82184,0.89986,0.71268,0.84276,0.82438,0.90208,0.61208,0.62414,0.39929,0.62447,0.97405,0.0012344,0.0012344,0.0012344
31,8073.93,0.76286,1.11264,0.56231,0.96251,0.84067,0.82293,0.89825,0.71292,0.84829,0.82583,0.9052,0.61407,0.61601,0.39845,0.65348,0.94695,0.001208,0.001208,0.001208
32,8333.65,0.74828,1.0837,0.55852,0.95821,0.84274,0.80987,0.89275,0.70539,0.85455,0.81422,0.8975,0.60076,0.60442,0.39321,0.66898,0.94135,0.0011816,0.0011816,0.0011816
33,8591.46,0.76066,1.10344,0.55696,0.9624,0.85717,0.81007,0.89435,0.71769,0.85699,0.82003,0.89416,0.62062,0.60486,0.39247,0.6399,0.9452,0.0011552,0.0011552,0.0011552
34,8849.11,0.7448,1.06755,0.54966,0.95974,0.83662,0.82498,0.88566,0.71379,0.84637,0.83309,0.89512,0.60754,0.60316,0.39416,0.63857,0.95132,0.0011288,0.0011288,0.0011288
35,9109.35,0.73701,1.0625,0.54272,0.95425,0.85618,0.82003,0.90223,0.72132,0.86927,0.8203,0.90974,0.61988,0.59833,0.38927,0.64578,0.93527,0.0011024,0.0011024,0.0011024
36,9366.47,0.72981,1.04605,0.5368,0.95372,0.82425,0.83309,0.8995,0.71411,0.83433,0.8418,0.90836,0.61671,0.59348,0.40346,0.64226,0.9329,0.001076,0.001076,0.001076
37,9625.52,0.72701,1.05529,0.5356,0.94598,0.86227,0.8178,0.89879,0.7191,0.87711,0.82003,0.90498,0.6193,0.60533,0.38758,0.65462,0.96018,0.0010496,0.0010496,0.0010496
38,9883.81,0.7226,1.04678,0.53159,0.94644,0.83881,0.82293,0.88799,0.71853,0.84769,0.83164,0.8961,0.62481,0.59943,0.39445,0.64549,0.93544,0.0010232,0.0010232,0.0010232
39,10141.1,0.71588,1.02724,0.5252,0.94741,0.84945,0.80697,0.89123,0.71199,0.85962,0.82729,0.90031,0.61527,0.60019,0.39284,0.65121,0.94676,0.0009968,0.0009968,0.0009968
40,10401.3,0.71807,1.03085,0.52124,0.94544,0.86433,0.80987,0.89658,0.71368,0.85265,0.83019,0.90158,0.61151,0.58903,0.39837,0.61086,0.94547,0.0009704,0.0009704,0.0009704
41,10660.9,0.71046,1.02799,0.51933,0.94536,0.85956,0.82614,0.89368,0.7166,0.8656,0.83195,0.90396,0.61449,0.59619,0.39423,0.6171,0.94533,0.000944,0.000944,0.000944
42,10918.1,0.70378,1.00836,0.5126,0.94259,0.83482,0.84358,0.90581,0.72479,0.84076,0.84761,0.91293,0.62976,0.58887,0.37931,0.61829,0.93893,0.0009176,0.0009176,0.0009176
43,271.193,0.70554,1.00816,0.51936,0.94599,0.84704,0.82781,0.89395,0.71241,0.85262,0.82285,0.8976,0.6123,0.59125,0.38545,0.65684,0.93845,0.0008912,0.0008912,0.0008912
44,537.112,0.70156,1.00923,0.50907,0.94,0.85275,0.83454,0.89381,0.72942,0.86017,0.8418,0.90189,0.62502,0.59544,0.39126,0.60154,0.95348,0.0008648,0.0008648,0.0008648
45,808.785,0.69708,0.99616,0.50639,0.93949,0.8637,0.80842,0.89339,0.71844,0.8699,0.81422,0.90473,0.61598,0.57405,0.39123,0.62302,0.92694,0.0008384,0.0008384,0.0008384
